"keyword","X1960","X1970","X1980","X1990","X2000","X2010"
"aint feeling",0,1,2,0,2,0
"aint finished",0,0,0,1,1,3
"aint free",0,1,2,0,0,1
"aint fuckin",0,0,0,1,1,17
"aint fucking",0,0,0,2,3,1
"aint funny",0,1,0,2,7,2
"aint get",0,0,1,0,4,1
"aint gettin",0,2,0,0,6,1
"aint getting",0,1,10,2,13,1
"aint girl",0,0,0,1,3,2
"aint giving",0,0,1,0,2,2
"aint go",0,0,1,1,1,0
"aint goin",0,0,0,2,16,9
"aint going",2,0,3,1,3,10
"aint going nowhere",1,0,1,0,3,6
"aint gon",0,0,0,2,18,28
"aint gon stop",0,0,0,1,1,1
"aint gonna",6,20,38,13,44,18
"aint gonna face",0,1,0,0,1,1
"aint gonna lie",0,0,1,0,3,1
"aint gonna take",0,0,2,4,0,1
"aint good",7,6,1,17,10,12
"aint good enough",1,0,0,11,2,0
"aint got",27,40,20,34,105,42
"aint got love",0,0,0,1,1,1
"aint got money",0,3,1,0,7,2
"aint got much",0,1,1,3,3,0
"aint got nobody",0,1,0,1,2,0
"aint got none",0,0,0,1,1,1
"aint got nothin",3,0,1,1,1,0
"aint got nothing",5,1,1,0,7,1
"aint got one",0,1,0,0,4,1
"aint got shit",0,0,0,1,1,1
"aint got time",12,4,4,6,12,7
"aint got time take",3,2,0,0,0,1
"aint gotta",0,0,0,5,36,26
"aint hard",1,1,1,5,0,6
"aint heard",0,1,0,4,2,2
"aint heavy",0,5,0,1,0,1
"aint hit",0,0,0,2,2,1
"aint just",0,0,1,1,9,0
"aint know",0,0,0,2,10,2
"aint leavin",0,0,0,2,3,3
"aint lie",1,2,0,0,1,0
"aint life",1,0,0,1,4,0
"aint like",0,0,2,1,3,3
"aint long",0,0,0,4,1,3
"aint lookin",3,0,4,1,2,0
"aint looking",0,1,0,3,1,0
"aint love",0,0,6,11,11,9
"aint lyin",3,0,2,0,4,0
"aint lying",0,1,0,3,1,0
"aint mad",0,0,3,1,3,0
"aint made",1,0,1,0,1,0
"aint making",0,0,1,0,6,2
"aint missing",0,0,16,1,0,2
"aint money",0,0,1,4,1,0
"aint much",0,1,16,1,1,2
"aint need",0,0,0,2,13,1
"aint never",7,6,7,7,35,34
"aint never gonna",0,0,0,2,2,2
"aint never seen",0,1,0,0,6,1
"aint nobody",5,15,10,22,21,9
"aint nobody else",2,4,0,0,1,0
"aint nobody gonna",0,3,2,0,1,1
"aint nobody like",0,3,1,1,0,0
"aint none",0,0,0,2,3,4
"aint nothin",2,24,16,17,29,11
"aint nothin gonna",0,3,12,1,0,0
"aint nothin like",0,1,0,0,4,2
"aint nothing",12,11,3,23,40,17
"aint nothing can",2,4,2,1,2,6
"aint nothing like",10,2,0,1,3,1
"aint nowhere",0,0,0,1,1,2
"aint one",0,4,4,7,7,3
"aint place",3,1,2,1,4,1
"aint playin",0,0,1,2,5,1
"aint proud",4,0,2,13,0,0
"aint quite",0,2,0,0,1,1
"aint ready",0,1,2,1,4,1
"aint real",0,0,2,1,1,3
"aint really",1,0,5,0,5,3
"aint right",4,13,8,6,9,6
"aint sayin",0,0,0,1,1,1
"aint scared",0,1,0,4,15,1
"aint secret",0,0,1,1,1,1
"aint seen",1,1,1,1,27,6
"aint seen nothing",1,0,0,0,10,4
"aint shit",0,0,0,3,6,2
"aint stoppin",0,11,0,3,6,0
"aint stopping",0,0,0,2,4,3
"aint supposed",1,1,0,2,5,0
"aint sweet",1,0,0,1,0,1
