"keyword","X1960","X1970","X1980","X1990","X2000","X2010"
"foot",0,29,7,15,16,12
"foot door",0,0,0,1,3,1
"football",2,1,1,1,7,2
"footsteps",4,0,0,4,1,3
"force",2,29,7,8,24,6
"forced",1,0,0,0,7,5
"forces",0,5,0,3,6,0
"ford",0,0,0,1,2,2
"fore",0,5,0,3,10,12
"foreign",0,6,1,5,14,8
"foreplay",0,0,0,1,5,4
"forest",1,3,6,2,1,0
"forever",49,71,215,240,189,110
"forever baby",1,0,6,9,1,0
"forever can",0,0,4,1,15,0
"forever cant",2,0,1,4,0,0
"forever come",1,0,6,0,0,2
"forever dont",1,0,5,1,5,1
"forever ever",3,10,5,8,31,5
"forever ever ever",0,0,3,3,21,0
"forever ever every",0,1,0,3,3,0
"forever ever forever",0,1,0,0,2,3
"forever feel",0,0,2,0,1,3
"forever forever",2,1,3,10,11,10
"forever forever ever",0,0,0,1,4,3
"forever hey",0,0,1,8,1,0
"forever hold",0,0,1,1,1,0
"forever ill",0,0,6,1,4,0
"forever im",0,0,2,0,3,2
"forever just",0,1,2,3,1,0
"forever know",3,2,2,1,0,1
"forever let",0,2,1,0,1,0
"forever life",0,4,1,4,0,0
"forever love",0,5,5,5,4,0
"forever need",1,1,0,1,0,0
"forever never",1,1,7,10,1,6
"forever now",0,0,2,1,5,5
"forever oh",2,1,7,6,4,4
"forever oh oh",0,0,4,1,0,2
"forever oh oh oh",0,0,4,1,0,2
"forever said",0,0,2,1,3,0
"forever til",1,1,1,0,0,0
"forever well",0,1,5,4,0,1
"forever will",3,2,12,9,3,0
"forever yeah",1,0,0,1,1,0
"forever youre",0,1,1,0,0,1
"foreverand",0,0,2,0,1,1
"forevermore",1,1,7,1,0,0
"forgave",0,0,2,1,0,2
"forget",25,44,92,101,132,97
"forget day",0,1,1,2,0,1
"forget dont",0,2,2,1,1,0
"forget ever",3,1,0,0,1,0
"forget everything",0,0,3,2,2,0
"forget foolish",4,1,3,0,0,0
"forget girl",0,0,3,2,0,3
"forget im",0,0,6,4,2,6
"forget just",0,3,1,3,0,0
"forget name",0,0,1,0,1,2
"forget now",2,0,1,1,0,1
"forget past",0,1,3,2,1,0
"forget say",1,0,1,1,0,0
"forget things",1,0,0,1,1,0
"forget way",0,0,3,2,5,1
"forgets",0,1,5,0,2,0
"forgetting",0,0,0,1,1,3
"forgive",3,7,14,37,17,4
"forgive forget",1,0,1,2,0,0
"forgiven",0,1,1,2,1,4
"forgiveness",0,1,1,2,7,2
"forgot",1,3,18,13,38,14
"forgotten",2,4,13,3,13,4
"fori",0,0,7,0,1,1
"fori dont",0,0,1,0,1,1
"form",2,0,3,7,6,3
"forsake",1,3,1,1,0,0
"forth",0,0,3,11,8,5
"fortress",1,2,0,1,0,0
"fortunate",0,0,1,1,1,0
"fortune",4,13,7,7,7,1
"fortune fame",1,2,2,2,2,0
"forty",2,4,7,1,5,5
"forward",6,6,9,13,13,3
"fought",15,3,4,3,2,3
"foul",0,1,0,6,5,1
"found",51,87,187,138,174,86
"found another",1,1,5,5,1,0
"found baby",2,0,1,2,0,0
"found better",0,1,0,3,0,1
"found can",1,0,2,1,0,0
"found dont",6,1,5,2,0,0
"found found",1,0,0,7,10,2
"found girl",1,1,0,0,3,2
"found hard",0,2,1,1,0,0
"found heart",0,0,4,4,2,0
"found home",0,1,1,1,0,0
"found im",0,0,10,1,6,0
"found just",1,0,1,1,1,0
"found know",1,1,5,0,0,0
"found love",0,2,1,13,5,38
"found new",2,1,3,1,3,0
"found now",1,0,0,3,1,1
"found oh",0,4,1,0,1,0
"found one",0,1,0,6,1,0
"found somebody",1,0,5,2,8,0
"found someone",2,5,6,20,3,1
"found way",2,3,7,2,2,0
"found youre",1,0,1,0,0,1
"fountain",0,6,1,1,2,0
"four",8,32,11,44,80,20
"four five",0,0,0,2,8,1
"four kids",0,0,0,1,2,1
"four three",0,2,1,1,4,0
"four three two",0,0,1,1,3,0
"four three two one",0,0,1,1,1,0
"four walls",0,2,2,1,1,0
"four years",0,1,0,2,1,2
"fourteen",0,1,0,2,0,1
"fourth",0,6,1,2,3,12
"fourth july",0,3,0,0,1,6
"fox",0,10,2,3,1,12
"foxtrot",0,0,0,1,1,1
"foxy",0,3,0,2,3,0
"frame",2,1,2,7,11,2
"frames",0,0,0,2,1,2
"francisco",7,5,2,0,0,0
"frank",1,1,0,3,1,0
"frankie",0,0,1,1,2,1
"frankly",0,0,0,1,1,2
"freak",0,13,1,55,96,21
"freak freak",0,0,0,1,2,1
"freak like",0,0,0,7,2,1
"freakin",0,0,0,4,11,6
"freaking",0,0,0,1,1,1
"freaks",0,0,0,14,9,8
"freaky",0,2,1,26,30,11
"freaky girl",0,0,0,1,1,1
"freaky people",0,1,0,1,0,2
"fred",3,2,0,1,3,0
"freddie",0,2,2,0,1,2
"free",51,140,152,196,109,62
"free baby",2,1,4,4,0,0
"free can",0,0,3,0,5,4
"free cause",0,4,3,4,1,6
"free come",2,0,3,2,0,0
"free dance",0,3,1,4,0,0
"free dont",6,1,7,0,0,4
"free fly",0,5,0,1,2,0
"free free",1,4,3,7,1,0
"free get",0,0,1,1,3,0
"free ill",2,1,0,0,1,0
"free im",0,1,1,1,9,1
"free know",0,4,0,2,2,1
"free like",0,2,1,0,0,1
"free mind",1,1,1,22,11,0
"free need",1,1,0,1,0,0
"free now",2,4,2,8,0,3
"free now dont",1,0,1,1,0,0
"free oh",1,3,1,4,5,0
"free ride",0,6,0,3,1,0
"free soul",1,8,0,6,8,0
"free tonight",0,0,7,1,1,3
"free will",0,1,5,2,0,0
"free yeah",0,1,2,4,1,1
"freed",0,0,2,0,1,1
"freedom",14,29,16,28,12,15
"freedom dont",0,2,3,0,1,3
"freei",0,0,1,2,0,2
"freely",0,0,1,1,2,1
"freeoh",1,0,1,1,0,1
"freeway",2,0,13,2,9,1
"freeze",0,0,12,16,8,2
"freight",0,12,1,0,0,1
"french",3,1,1,10,2,5
"fresh",1,7,46,13,112,16
"fresh air",1,1,0,0,1,0
"friction",0,0,0,1,2,1
"friday",5,8,2,31,19,27
"friday night",1,3,1,6,6,20
"friday saturday",0,0,0,12,7,1
"friend",29,118,98,168,188,48
"friend always",2,3,0,1,1,0
"friend came",1,1,0,1,0,0
"friend can",0,1,2,1,3,0
"friend dont",1,1,3,3,0,0
"friend friend",0,2,4,0,2,3
"friend got",0,0,1,4,1,0
"friend ill",0,3,10,3,0,3
"friend im",0,1,8,2,8,0
"friend just",1,0,3,1,0,0
"friend know",1,6,1,0,1,0
"friend like",0,2,1,8,2,0
"friend look",0,1,0,4,2,0
"friend maybe",0,1,1,0,0,2
"friend mine",2,15,4,17,5,1
"friend need",2,1,0,2,1,0
"friend oh",2,2,0,6,2,3
"friend play",0,0,1,2,1,0
"friend said",0,1,5,2,0,0
"friend see",0,1,1,0,1,0
"friend thats",0,2,1,1,2,0
"friend told",0,0,2,1,1,0
"friend will",0,2,2,10,0,0
"friend yeah",0,1,1,3,0,1
"friend yesterday",0,1,0,1,1,0
"friend youre",0,2,0,2,12,0
"friendand",0,1,1,3,0,0
"friendi",0,1,0,1,4,0
"friendly",0,3,3,4,1,2
"friendoh",0,2,2,0,8,0
"friends",34,131,94,174,224,105
"friends advice",2,0,1,0,1,0
"friends around",0,2,1,1,2,0
"friends ask",1,2,0,0,0,5
"friends call",0,1,0,2,1,0
"friends can",1,0,1,11,5,1
"friends cause",0,1,0,3,11,0
"friends come",0,2,0,2,0,1
"friends dont",0,0,3,2,4,8
"friends friends",0,0,0,2,1,1
"friends get",0,3,0,2,2,1
"friends got",0,0,1,2,8,4
"friends ill",0,0,3,0,1,2
"friends im",0,2,2,1,2,2
"friends just",1,4,0,1,2,1
"friends keep",1,0,3,1,0,1
"friends keep telling",1,0,3,1,0,0
"friends know",0,2,2,3,1,1
"friends make",0,0,0,3,2,3
"friends need",0,0,1,0,4,2
"friends never",0,1,1,0,2,1
"friends now",0,1,0,1,3,0
"friends right",0,0,2,0,1,5
"friends say",2,6,6,1,5,4
"friends say im",1,0,1,0,1,0
"friends see",1,0,1,0,2,0
"friends tell",0,2,0,4,2,2
"friends thats",0,1,1,1,1,0
"friends theyre",0,2,0,4,2,0
"friends think",0,0,3,2,1,1
"friends want",0,0,0,1,1,1
"friends well",0,1,0,1,1,1
"friends weve",0,0,0,4,1,2
"friends will",0,0,1,10,1,0
"friends wonder",0,2,1,1,0,0
"friends youre",0,1,0,3,2,2
"friendship",2,0,2,9,1,2
"frightened",2,3,4,5,0,0
"frightening",1,6,1,1,0,0
"frisco",2,2,0,1,1,0
"frog",2,1,0,0,0,1
"front",2,12,9,91,179,46
"front back",0,0,0,20,9,1
"front door",0,3,2,1,11,4
"front every",0,1,0,0,1,1
"front hey",0,0,1,0,1,2
"front never",0,0,1,1,4,0
"front porch",0,1,1,2,16,3
"frontin",0,0,0,6,25,3
"frontin like",0,0,0,2,2,1
"frown",2,10,2,3,2,3
"frowns",1,0,0,1,0,1
"froze",0,0,0,2,7,1
"frozen",0,4,4,7,4,8
"fruit",6,3,3,0,6,1
"fruits",1,2,0,0,1,1
"frustrated",2,0,0,8,18,0
"frustration",0,1,5,0,2,1
"fuck",0,0,1,75,289,266
"fuck around",0,0,0,4,3,5
"fuck around get",0,0,0,1,2,1
"fuck bitches",0,0,0,7,2,5
"fuck dont",0,0,0,1,33,13
"fuck gonna",0,0,0,1,1,1
"fuck got",0,0,1,0,2,7
"fuck im",0,0,0,1,2,15
"fuck just",0,0,0,2,1,1
"fuck right",0,0,0,1,1,1
"fuck shit",0,0,0,1,1,2
"fuck wit",0,0,0,4,7,1
"fuck ya",0,0,0,1,5,2
"fuck yall",0,0,0,2,4,4
"fucked",0,0,0,17,29,31
"fucker",0,0,0,2,1,6
"fuckin",0,0,0,40,63,80
"fucking",0,0,0,7,35,47
"fucks",0,0,0,1,2,3
"fuego",0,4,0,1,2,2
"fuel",0,0,2,1,3,0
"fulfill",0,0,3,5,13,4
"full",13,24,41,46,129,89
"full gold",0,0,0,1,1,1
"full im",0,0,0,2,3,1
"full love",0,5,12,0,1,1
"full money",0,0,0,1,1,2
"full moon",0,1,2,0,6,4
"full people",0,1,1,4,0,0
"full shit",0,0,0,1,2,7
"fulla",0,1,0,2,1,0
"fully",0,1,0,3,1,1
"fum",0,1,1,1,0,0
"fun",32,78,90,71,99,53
"fun aint",0,4,2,0,1,7
"fun dont",0,0,3,1,2,8
"fun im",0,1,0,0,1,1
"fun just",1,0,2,0,1,1
"fun never",0,2,1,0,1,0
"fun now",0,0,3,1,6,2
"fun oh",0,1,5,1,2,0
"fun yeah",1,0,2,0,0,2
"fun youre",0,7,1,0,1,0
"function",1,0,2,0,0,2
"funeral",1,0,0,2,1,1
"funi",0,0,1,4,4,0
"funk",0,110,7,40,18,31
"funky",10,59,22,93,11,0
"funky funky",3,0,0,11,2,0
"funky yeah",0,0,1,6,1,0
"funny",9,40,26,37,55,25
"funny feeling",0,3,1,2,1,0
"funny say",1,1,1,0,0,0
"funny things",1,2,1,0,4,1
"funny youre",0,0,0,2,2,3
"fur",0,0,1,0,11,3
"furious",1,0,1,0,1,0
"furniture",0,0,1,0,2,1
"fuse",0,5,1,2,0,2
"fuss",1,0,8,4,5,1
"fussin",1,1,0,0,2,0
"fussin fightin",1,1,0,0,1,0
"fussing",2,0,0,1,3,0
"future",6,32,26,27,17,30
"future behind",1,0,0,1,0,1
"future holds",0,0,2,2,0,1
"future im",1,1,0,0,0,1
"futures",2,1,4,2,1,0
"fuzzy",1,2,1,2,0,2
"g like",0,0,0,2,1,32
"gabbana",0,0,0,2,5,1
"gain",2,2,3,4,4,4
"gal",6,1,0,0,51,4
"gamble",1,1,3,0,0,0
"gambling",0,2,1,0,1,0
"game",41,57,79,124,267,76
"game baby",0,1,0,4,2,0
"game can",1,2,0,1,3,0
"game cause",0,0,1,0,3,1
"game dont",1,0,2,2,14,0
"game give",4,0,8,5,1,0
"game got",0,1,0,1,2,0
"game gotta",0,1,0,1,1,0
"game im",0,0,3,2,6,1
"game just",0,1,0,2,4,1
"game know",0,3,1,4,6,1
"game like",0,0,1,4,3,2
"game love",9,0,3,2,7,0
"game now",8,0,0,1,0,1
"game play",0,5,7,16,10,0
"game played",0,0,1,2,1,0
"game show",0,0,0,1,1,1
"game wanna",0,0,0,1,4,1
"game want",0,0,2,0,10,1
"games",9,6,49,45,43,13
"games dont",0,1,4,0,1,2
"games play",0,0,2,3,0,3
"gang",3,4,5,7,7,9
"gangsta",0,15,0,27,43,6
"gangsta lean",0,12,0,21,1,0
"gangster",0,1,0,16,3,2
"gap",0,0,0,2,1,1
"garbage",1,0,1,1,1,1
"garden",3,22,10,5,12,2
"garden gate",0,0,1,1,1,0
"gary",0,1,3,0,2,0
"gas",29,11,4,14,19,14
"gasoline",0,0,1,1,1,2
"gate",0,5,2,9,8,2
"gates",0,1,1,3,5,5
"gather",2,5,2,4,2,3
"gather round",0,1,1,2,2,0
"gathered",0,5,1,0,1,0
"gators",2,0,0,2,3,0
"gave",28,53,54,105,133,93
"gave away",0,1,0,6,9,0
"gave best",0,0,1,2,2,1
"gave everything",1,0,0,2,6,0
"gave faith",1,0,0,4,0,1
"gave fuck",0,0,0,1,3,1
"gave good",0,1,1,1,0,0
"gave heart",2,2,6,13,3,3
"gave heart soul",0,1,1,0,1,0
"gave hope",0,1,2,1,0,0
"gave kiss",0,0,2,0,1,1
"gave life",0,3,1,3,1,2
"gave love",0,9,3,9,4,4
"gave now",1,0,1,3,9,0
"gave oh",1,0,1,0,1,0
"gave reason",1,0,0,2,4,0
"gave soul",0,0,1,2,1,0
"gave strength",0,2,0,1,0,1
"gave us",0,1,0,1,4,0
"gave world",0,0,1,6,2,0
"gay",0,1,3,4,0,5
"gaye",1,0,1,2,5,14
"gaze",4,0,0,2,3,0
"gazing",2,1,1,1,0,0
"gear",0,1,1,2,6,4
"gee",8,1,0,2,0,0
"general",1,0,2,0,1,1
"generation",1,2,4,5,4,2
"genie",0,2,0,13,2,3
"genius",0,1,2,4,2,3
"gentle",9,22,15,8,3,1
"gentleman",0,0,3,7,5,5
"gentlemen",0,1,3,5,8,0
"gently",0,11,0,5,1,0
"genuine",1,2,0,1,1,0
"george",1,2,1,3,5,6
"georgia",2,24,3,2,6,5
"german",1,0,1,1,1,1
"get",342,1245,991,1719,2801,1167
"get aint",0,1,2,1,7,2
"get alone",0,0,3,0,1,4
"get along",0,2,1,3,4,6
"get another",0,0,3,8,3,4
"get anything",0,0,0,1,3,1
"get arms",1,0,0,1,0,1
"get around",1,2,27,9,0,1
"get ass",0,0,0,3,10,6
"get attention",0,0,1,1,2,1
"get away",9,20,48,28,22,10
"get away come",0,0,1,0,2,2
"get baby",1,7,7,5,13,11
"get back",39,28,34,30,65,19
"get back home",0,4,1,0,1,0
"get back im",0,1,1,0,2,0
"get back right",0,1,2,0,6,1
"get bed",0,1,0,0,2,1
"get behind",0,2,1,0,5,1
"get best",1,13,1,0,2,2
"get better",1,8,12,4,14,2
"get big",0,0,1,1,6,0
"get boy",2,0,0,0,2,1
"get break",0,0,2,1,1,0
"get burned",2,2,1,3,0,3
"get burnt",1,0,0,1,1,0
"get busy",0,0,3,5,5,2
"get call",0,1,2,0,5,1
"get can",1,1,3,8,7,6
"get cant",0,1,2,3,0,0
"get car",0,1,8,1,5,3
"get carried",0,0,1,1,2,0
"get carried away",0,0,1,1,2,0
"get caught",2,6,18,2,9,2
"get cause",1,2,3,7,15,2
"get cause im",0,0,0,1,2,1
"get cause love",1,0,2,1,0,0
"get chance",1,2,1,7,16,5
"get check",0,0,1,2,0,1
"get chills",0,0,3,0,1,1
"get close",0,2,2,6,6,7
"get closer",0,11,4,1,5,1
"get clothes",0,0,0,1,5,3
"get cold",0,0,1,2,2,0
"get come",2,8,10,2,1,9
"get come get",1,2,10,0,1,0
"get come get get",1,1,2,0,0,0
"get confused",1,0,0,0,2,3
"get crazy",0,1,1,4,0,4
"get damn",0,0,0,1,2,2
"get dance",6,0,0,7,5,0
"get dick",0,0,0,1,3,2
"get done",1,2,0,0,4,0
"get dont",1,13,3,10,9,4
"get dont know",0,2,1,2,0,0
"get dont wanna",0,3,0,1,4,1
"get drunk",1,0,1,1,14,12
"get early",0,1,1,0,1,0
"get easier",0,1,0,8,0,1
"get em",1,1,0,6,16,19
"get enough",0,41,24,23,16,22
"get everybodys",0,1,1,1,0,0
"get excited",0,0,10,8,1,1
"get eyes",1,1,0,1,1,0
"get face",0,1,0,1,2,0
"get faded",0,0,0,1,1,6
"get far",1,10,4,1,1,0
"get fast",0,1,3,0,2,1
"get feelin",1,12,0,1,0,0
"get feeling",0,10,10,1,4,8
"get feet",4,4,2,1,2,0
"get fill",0,0,3,2,2,0
"get floor",6,48,1,5,18,14
"get floor get",2,2,0,1,0,0
"get fly",0,0,0,2,32,2
"get free",1,3,10,4,5,1
"get friends",0,0,0,7,2,1
"get fuck",0,0,0,8,3,2
"get fucked",0,0,0,1,4,1
"get get",38,191,69,81,129,38
"get get come",1,5,5,0,0,0
"get get dont",0,2,0,7,2,0
"get get get",14,128,47,14,46,16
"get get get come",1,1,5,0,0,0
"get get get get",2,99,29,3,16,12
"get get just",0,5,0,1,1,0
"get getting",1,0,0,6,0,3
"get girl",0,7,1,8,36,5
"get give",0,0,0,1,2,1
"get go",0,0,2,2,3,3
"get goin",0,0,0,2,5,2
"get gonna",6,4,12,0,0,0
"get good",0,13,0,3,1,17
"get got",1,1,1,10,14,10
"get gotta",0,0,4,19,8,3
"get grip",0,0,4,2,3,2
"get groove",0,2,1,5,3,0
"get guy",2,0,1,1,1,0
"get hands",0,1,2,0,2,1
"get hard",0,0,0,2,1,2
"get head",0,13,1,4,45,11
"get heart",5,1,2,2,1,6
"get hell",0,0,1,2,3,1
"get help",0,1,0,0,2,1
"get hey",1,1,1,0,0,0
"get high",0,13,2,3,19,12
"get hold",2,0,5,1,0,0
"get home",6,19,4,15,15,6
"get home baby",0,1,0,3,1,0
"get hot",0,0,0,13,12,5
"get hung",0,1,2,0,4,0
"get hurt",0,3,3,1,10,3
"get ill",0,0,1,7,3,1
"get im",2,1,8,6,25,6
"get im gonna",0,0,5,2,8,0
"get inside",0,2,0,11,6,4
"get involved",0,0,1,1,3,4
"get iti",0,0,0,1,2,1
"get ive",0,1,0,0,1,1
"get jealous",0,0,2,0,3,3
"get job",0,0,1,1,0,5
"get just",2,11,2,16,24,5
"get just get",2,5,0,5,0,0
"get just gotta",0,1,0,1,6,0
"get just gotta get",0,1,0,1,6,0
"get keep",0,3,0,1,3,0
"get kicks",2,0,2,0,3,0
"get killed",0,0,0,1,1,2
"get kiss",1,1,0,14,0,0
"get knees",5,4,4,13,1,0
"get know",1,8,9,16,30,5
"get know better",0,1,1,0,0,1
"get left",0,0,2,1,0,4
"get let",0,0,0,2,3,3
"get lets",2,3,2,39,5,8
"get lets get",0,2,0,39,5,8
"get life",9,4,12,4,0,0
"get like",0,2,1,4,39,10
"get line",0,1,6,0,7,2
"get little",0,0,6,32,9,26
"get little bit",0,0,4,17,2,12
"get little closer",0,0,0,2,2,3
"get live",0,0,2,1,9,1
"get lonely",0,5,1,15,2,0
"get loose",0,0,1,6,10,5
"get lost",2,10,2,1,14,14
"get love",3,34,2,37,11,9
"get lovin",1,5,0,11,2,1
"get low",0,3,0,1,70,16
"get mad",0,0,1,8,10,4
"get make",0,2,1,0,4,0
"get man",1,0,1,0,1,0
"get married",3,1,1,2,8,1
"get message",5,2,1,2,1,1
"get mic",0,0,0,4,1,2
"get mind",6,3,9,8,12,2
"get mine",0,0,0,4,2,2
"get money",0,3,2,12,5,22
"get morning",0,1,1,0,0,1
"get move",3,0,3,5,8,1
"get much",3,6,1,2,6,0
"get nasty",0,0,0,2,1,7
"get near",0,2,1,1,0,1
"get new",0,0,1,2,3,0
"get next",16,8,0,2,8,11
"get night",0,6,1,6,0,7
"get nothing",0,2,1,1,2,0
"get notion",0,1,1,0,1,0
"get now",8,9,1,5,10,7
"get now im",0,0,1,3,1,2
"get oh",0,6,3,3,3,0
"get old",0,1,4,2,5,2
"get one",0,3,1,3,22,3
"get ooh",0,0,1,3,1,0
"get outta",0,3,5,5,19,3
"get paid",0,1,2,6,6,1
"get pants",0,0,1,1,2,0
"get party",0,0,1,6,15,3
"get past",0,4,0,2,2,6
"get picture",0,3,0,1,1,2
"get piece",0,0,0,2,3,1
"get place",8,0,0,1,1,1
"get play",0,0,1,1,2,0
"get please",1,1,2,0,0,0
"get put",0,0,0,3,7,9
"get ready",1,28,2,7,7,4
"get ready cause",0,9,0,1,1,4
"get real",1,0,11,5,4,1
"get red",2,0,1,1,2,1
"get rest",0,0,1,1,0,2
"get rich",0,2,0,2,1,1
"get rid",0,0,1,3,4,1
"get ride",1,0,0,1,4,2
"get right",0,16,13,12,65,22
"get right back",0,4,1,0,2,0
"get right get",0,0,2,0,12,2
"get right im",0,0,1,0,5,1
"get rock",1,0,0,1,1,0
"get room",0,1,0,0,1,1
"get rough",0,1,4,0,4,4
"get say",0,2,1,2,1,1
"get scared",1,1,1,2,1,0
"get seat",1,1,0,2,0,0
"get see",0,1,0,10,17,2
"get share",1,1,0,1,0,0
"get shit",0,0,0,1,3,7
"get show",0,3,0,5,4,0
"get sick",0,0,1,3,1,2
"get sleep",1,14,2,1,5,1
"get someone",1,0,1,0,10,0
"get something",0,0,0,1,2,1
"get soul",3,1,0,0,1,2
"get started",0,1,2,3,39,1
"get straight",5,2,4,1,0,2
"get stuck",0,0,2,1,0,3
"get take",0,3,1,1,0,0
"get tell",1,0,2,1,0,1
"get thats",1,3,0,8,0,0
"get theres",0,0,2,1,1,0
"get thing",0,5,1,3,1,1
"get things",0,0,2,5,5,0
"get thinking",1,1,0,0,8,0
"get ticket",0,2,0,0,1,1
"get tickets",0,1,0,1,1,0
"get tight",1,0,0,1,1,0
"get time",1,3,2,10,1,2
"get tired",2,2,0,0,1,0
"get together",3,37,12,25,17,4
"get tonight",1,21,1,0,16,3
"get top",0,0,0,5,4,1
"get touch",0,4,0,1,0,2
"get tough",1,0,2,1,0,0
"get town",1,2,0,1,0,1
"get try",0,1,2,0,0,15
"get undressed",0,1,0,2,2,5
"get us",0,1,2,0,4,1
"get used",1,9,2,5,2,1
"get want",4,0,8,3,8,2
"get way",3,9,10,15,70,2
"get weak",0,0,12,8,2,0
"get well",1,0,0,2,1,0
"get whatever",0,0,0,1,2,7
"get whats",0,0,3,2,8,0
"get wild",0,0,9,2,3,0
"get wit",0,0,0,5,14,1
"get wont",0,0,2,0,3,1
"get world",0,0,3,1,2,0
"get wrong",1,2,9,8,4,2
"get ya",0,16,1,9,32,6
"get yall",0,1,0,4,1,0
"get yeah",0,3,20,5,10,3
"get yeah yeah",0,2,20,0,4,0
"get yo",0,0,0,2,10,2
"get youll",1,4,2,0,0,0
"get youre",3,5,1,24,5,0
"getaway",0,16,3,3,1,2
"getaway leave",0,2,0,0,1,1
"getcha",0,1,0,3,9,0
"gets",14,81,77,58,78,44
"gets better",0,0,2,2,3,0
"gets cold",0,0,1,0,1,1
"gets dark",0,1,1,0,0,1
"gets hard",0,1,4,0,8,1
"gets high",0,6,0,5,1,4
"gets kinda",0,1,2,0,0,1
"gets little",0,1,0,2,0,9
"gets low",0,0,0,2,9,1
"gets old",0,0,1,1,3,0
"gets rough",2,0,10,2,2,0
"gets way",1,0,1,0,2,0
"gets weak",0,0,1,1,8,0
"gettin",15,53,34,118,165,55
"gettin better",0,0,1,0,2,2
"gettin hot",0,1,0,2,0,2
"gettin just",0,1,0,5,2,0
"gettin kinda",1,0,0,17,0,2
"gettin married",2,0,0,0,1,1
"gettin money",0,0,0,4,4,2
"gettin older",0,0,1,1,1,0
"gettin ready",0,1,1,1,0,0
"getting",28,40,88,108,204,141
"getting back",0,0,1,1,0,13
"getting better",6,0,0,6,4,0
"getting close",0,0,1,2,0,1
"getting closer",0,1,4,2,0,1
"getting good",1,2,0,1,0,1
"getting high",1,0,1,0,7,1
"getting ill",0,0,2,2,0,1
"getting late",2,2,0,1,4,0
"getting loud",0,0,1,0,1,1
"getting much",1,1,0,0,0,1
"getting old",0,3,1,0,4,2
"getting older",0,0,2,1,5,8
"getting paid",0,0,0,4,2,2
"getting stronger",1,1,7,3,0,0
"getting tired",0,0,2,0,1,1
"getting worse",0,0,1,1,4,0
"ghetto",8,8,0,28,29,6
"ghost",1,6,10,7,7,32
"ghosts",0,0,5,2,0,6
"ghouls",0,1,1,1,0,0
"giant",2,1,0,2,0,1
"gift",0,2,5,6,14,6
"gifted",0,0,1,3,1,0
"gifts",1,2,0,5,3,2
"giggle",1,1,0,1,5,1
"gigolo",0,0,4,1,8,0
"gimme",63,133,29,19,112,30
"gimme gimme",18,49,7,0,18,8
"gimme gimme gimme",4,19,0,0,5,0
"gimme just",0,2,1,1,0,2
"gin",2,2,0,13,4,4
"girl",322,408,588,805,1875,806
"girl ah",2,0,0,1,1,0
"girl aint",0,5,2,12,30,10
"girl always",2,0,4,1,10,2
"girl always mind",2,0,1,0,0,1
"girl around",0,0,0,6,3,2
"girl baby",0,4,6,9,11,0
"girl bad",0,0,2,0,9,1
"girl believe",2,0,1,6,0,0
"girl bet",0,1,0,8,1,1
"girl better",6,3,3,0,5,0
"girl big",0,0,0,1,1,1
"girl boy",1,3,1,1,1,0
"girl came",0,1,2,1,0,1
"girl can",3,5,7,5,20,16
"girl can tell",0,1,0,1,2,5
"girl cant",5,5,3,8,30,11
"girl cant see",1,0,0,1,0,1
"girl caught",0,0,0,1,2,1
"girl cause",2,2,3,17,25,6
"girl close",0,0,1,2,1,0
"girl come",1,2,2,2,12,1
"girl dance",0,2,1,0,0,1
"girl didnt",0,3,1,0,12,1
"girl dont",25,15,20,16,63,26
"girl dont know",0,4,0,6,11,6
"girl dont let",3,0,1,1,0,0
"girl dont lie",0,0,2,0,1,8
"girl dont need",2,1,1,0,6,1
"girl dont try",0,0,1,1,1,0
"girl dont want",3,0,2,1,1,0
"girl dream",0,0,2,1,2,0
"girl dreams",1,1,0,1,5,0
"girl drink",1,1,0,0,1,0
"girl even",0,1,0,3,1,0
"girl ever",3,2,1,2,3,0
"girl every",0,0,3,0,3,2
"girl eyes",0,6,2,2,0,0
"girl fall",0,7,0,0,1,1
"girl fall love",0,7,0,0,1,1
"girl feel",0,1,1,2,1,2
"girl fire",0,0,1,0,2,7
"girl forever",0,0,1,0,3,1
"girl get",8,0,3,0,18,2
"girl girl",7,2,5,4,36,5
"girl girl girl",0,0,2,1,10,0
"girl girls",1,0,1,0,1,0
"girl give",0,1,1,6,52,1
"girl go",1,1,1,2,49,3
"girl gone",1,3,1,1,2,1
"girl gonna",0,6,0,12,6,0
"girl good",1,4,0,0,9,5
"girl got",7,4,3,10,8,18
"girl gotta",1,1,1,3,6,15
"girl gotta gotta",0,0,0,2,4,1
"girl guess",1,1,0,1,0,5
"girl hard",1,0,0,1,1,5
"girl heart",2,0,1,7,2,0
"girl hey",3,0,1,1,2,1
"girl hold",0,2,0,2,2,1
"girl hope",0,1,0,2,1,0
"girl id",1,1,6,2,0,0
"girl ill",3,2,4,23,4,8
"girl im",3,11,21,27,56,30
"girl im gonna",1,2,3,0,2,7
"girl im just",0,0,2,1,4,0
"girl im love",1,0,2,0,5,0
"girl ive",3,5,5,2,10,1
"girl ive got",2,1,0,1,1,0
"girl just",4,7,8,5,34,8
"girl just cant",1,3,0,0,2,0
"girl just dont",1,2,0,0,0,1
"girl just want",0,0,3,2,2,1
"girl keep",2,0,0,5,8,5
"girl knew",3,1,1,11,6,0
"girl know",9,6,21,23,81,48
"girl know im",0,2,5,3,3,3
"girl know love",1,0,1,2,1,10
"girl know need",1,1,0,3,12,0
"girl knows",2,0,2,1,4,0
"girl leave",3,0,0,0,1,1
